104,Francesco Acerbi,2019-2020,31,ITA,Lazio,Serie A,36,3162,35.1,36,0,1,2,2,4,2,0,0,0,DF
104,Francesco Acerbi,2020-2021,32,ITA,Lazio,Serie A,32,2813,31.3,32,0,0,0,1,1,0,0,0,0,DF
104,Francesco Acerbi,2021-2022,33,ITA,Lazio,Serie A,30,2536,28.2,29,1,0,4,0,4,4,0,0,0,DF
104,Francesco Acerbi,2022-2023,34,ITA,Inter,Serie A,31,2425,26.9,25,6,3,0,2,2,0,0,0,0,DF
104,Francesco Acerbi,2023-2024,35,ITA,Inter,Serie A,29,2388,26.5,26,3,2,3,1,4,3,0,0,0,DF
104,Francesco Acerbi,2024-2025,36,ITA,Inter,Serie A,2,180,2.0,2,0,0,0,0,0,0,0,0,0,DF
105,Paolo Acerbis,2005-2006,24,ITA,Livorno,Serie A,2,180,2.0,2,0,,0,0,0,0,0,0,0,GK
105,Paolo Acerbis,2008-2009,27,ITA,Catania,Serie A,1,90,1.0,1,0,,0,0,0,0,0,0,0,GK
106,Álvaro Aceves,2022-2023,19,ESP,Valladolid,La Liga,1,13,0.1,0,1,13,0,0,0,0,0,0,0,GK
107,Karim Achahbar,2014-2015,18,MAR,Guingamp,Ligue 1,1,14,0.2,0,1,4,0,0,0,0,0,0,0,FW
107,Karim Achahbar,2017-2018,21,MAR,Guingamp,Ligue 1,0,0,,0,0,3,,,,,,,,FW
108,Ragnar Ache,2020-2021,22,GER,Eint Frankfurt,Bundesliga,7,100,1.1,0,7,3,1,0,1,1,0,0,0,"FW,DF"
108,Ragnar Ache,2021-2022,23,GER,Eint Frankfurt,Bundesliga,13,259,2.9,1,12,6,0,1,1,0,0,0,0,"MF,FW"
109,Geoffrey Acheampong,2016-2017,19,GHA,Bastia,Ligue 1,2,12,0.1,0,2,8,0,0,0,0,0,0,0,MF
110,Joshua Acheampong,2023-2024,17,ENG,Chelsea,Premier League,1,6,0.1,0,1,3,0,0,0,0,0,0,0,DF
111,Mohamed Achi,2021-2022,19,FRA,Nantes,Ligue 1,1,10,0.1,0,1,4,0,0,0,0,0,0,0,MF
111,Mohamed Achi,2022-2023,20,FRA,Nantes,Ligue 1,2,36,0.4,0,2,6,0,0,0,0,0,0,0,FW
111,Mohamed Achi,2023-2024,21,FRA,Nantes,Ligue 1,0,0,,0,0,1,,,,,,,,MF
112,Romain Achilli,2013-2014,20,FRA,Bastia,Ligue 1,2,135,1.5,2,0,,0,0,0,0,0,0,0,"DF,MF"
112,Romain Achilli,2014-2015,21,FRA,Bastia,Ligue 1,0,0,,0,0,3,,,,,,,,"DF,MF"
113,Hakeem Achour,2011-2012,22,ALG,Dijon,Ligue 1,1,4,0.0,0,1,,0,0,0,0,0,0,0,MF
114,Milenko Ačimovič,2002-2003,25,SVN,Tottenham,Premier League,17,494,5.5,4,13,,0,2,2,0,0,0,0,MF
114,Milenko Ačimovič,2003-2004,26,SVN,Lille,Ligue 1,16,1313,14.6,16,0,,6,1,7,4,2,2,0,MF
114,Milenko Ačimovič,2004-2005,27,SVN,Lille,Ligue 1,19,1115,12.4,15,4,,4,1,5,2,2,2,0,MF
114,Milenko Ačimovič,2005-2006,28,SVN,Lille,Ligue 1,12,810,9.0,12,0,,2,1,3,2,0,0,0,MF
115,Acorán,2001-2002,18,ESP,Tenerife,La Liga,10,378,4.2,3,7,,0,0,0,0,0,0,0,MF
116,Lautaro Acosta,2008-2009,20,ARG,Sevilla,La Liga,7,360,4.0,4,3,,0,0,0,0,0,0,0,"FW,MF"
116,Lautaro Acosta,2009-2010,21,ARG,Sevilla,La Liga,6,199,2.2,1,5,,0,0,0,0,0,0,0,"FW,MF"
116,Lautaro Acosta,2010-2011,22,ARG,Sevilla,La Liga,10,283,3.1,2,8,,0,1,1,0,0,0,0,"FW,MF"
116,Lautaro Acosta,2011-2012,23,ARG,Racing Sant,La Liga,21,1259,14.0,14,7,,2,0,2,2,0,0,0,"FW,MF"
117,Miguel Ángel Núñez Acosta,2004-2005,25,ESP,Numancia,La Liga,8,347,3.9,2,6,,0,0,0,0,0,0,0,MF
118,Antonio Acosta Rivera,1992-1993,20,ESP,Atlético Madrid,La Liga,4,325,3.6,4,0,1,0,,,0,0,,,MF
118,Antonio Acosta Rivera,1993-1994,21,ESP,Lleida,La Liga,9,509,5.7,6,3,0,0,,,0,0,,,MF
118,Antonio Acosta Rivera,1994-1995,22,ESP,Logroñés,La Liga,19,1325,14.7,14,5,0,0,,,0,0,,,MF
119,Maxwell Acosty,2011-2012,19,GHA,Fiorentina,Serie A,5,125,1.4,0,5,,0,0,0,0,0,0,0,"FW,MF"
119,Maxwell Acosty,2013-2014,21,GHA,Chievo,Serie A,7,118,1.3,0,7,,0,0,0,0,0,0,0,"FW,MF"
119,Maxwell Acosty,2016-2017,24,GHA,Crotone,Serie A,11,378,4.2,3,8,7,0,0,0,0,0,0,0,"MF,FW"
120,Robert Acquafresca,2005-2006,17,ITA,Treviso,Serie A,8,305,3.4,3,5,,0,0,0,0,0,0,0,FW
120,Robert Acquafresca,2007-2008,19,ITA,Cagliari,Serie A,32,1714,19.0,20,12,,10,1,11,8,2,2,0,FW
120,Robert Acquafresca,2008-2009,20,ITA,Cagliari,Serie A,36,2275,25.3,29,7,,14,0,14,10,4,4,0,FW
120,Robert Acquafresca,2010-2011,22,ITA,Cagliari,Serie A,37,2289,25.4,27,10,,8,1,9,8,0,1,1,FW
120,Robert Acquafresca,2011-2012,23,ITA,Bologna,Serie A,32,1594,17.7,17,15,,5,1,6,5,0,0,0,FW
120,Robert Acquafresca,2013-2014,25,ITA,Bologna,Serie A,19,752,8.4,6,13,,0,0,0,0,0,0,0,FW
120,Robert Acquafresca,2015-2016,27,ITA,Bologna,Serie A,6,208,2.3,2,4,20,0,0,0,0,0,0,0,FW
121,Afriyie Acquah,2010-2011,18,GHA,Palermo,Serie A,11,434,4.8,3,8,,0,0,0,0,0,0,0,MF
121,Afriyie Acquah,2011-2012,19,GHA,Palermo,Serie A,20,985,10.9,10,10,,0,0,0,0,0,0,0,MF
121,Afriyie Acquah,2012-2013,20,GHA,Parma,Serie A,13,540,6.0,4,9,,0,0,0,0,0,0,0,MF
121,Afriyie Acquah,2013-2014,21,GHA,Parma,Serie A,27,1787,19.9,19,8,,1,2,3,1,0,0,0,MF
121,Afriyie Acquah,2015-2016,23,GHA,Torino,Serie A,29,1888,21.0,22,7,2,2,3,5,2,0,0,0,MF
121,Afriyie Acquah,2016-2017,24,GHA,Torino,Serie A,20,1077,12.0,13,7,10,2,0,2,2,0,0,0,MF
121,Afriyie Acquah,2017-2018,25,GHA,Torino,Serie A,22,951,10.6,9,13,11,1,0,1,1,0,0,0,MF
121,Afriyie Acquah,2018-2019,26,GHA,Empoli,Serie A,28,1510,16.8,19,9,6,2,0,2,2,0,0,0,MF
122,Clarence Acuña,2002-2003,27,CHI,Newcastle Utd,Premier League,4,150,1.7,2,2,,0,0,0,0,0,0,0,MF
