1,Patrick van Aanholt,2016-2017,25.0,NED,Sunderland,Premier League,21,1784,19.8,20,1,0,3,1,4,3,0,0,0.0,"DF,MF"
1,Patrick van Aanholt,2016-2017,25.0,NED,Crystal Palace,Premier League,11,714,7.9,8,3,1,2,0,2,2,0,0,0.0,"DF,MF"
20,Neil Adams,1993-1994,27.0,ENG,Oldham Athletic,Premier League,13,770,8.6,7,6,,0,0,0,0,0,0,0.0,MF
20,Neil Adams,1993-1994,27.0,ENG,Norwich City,Premier League,14,968,10.8,11,3,,0,4,4,0,0,0,0.0,MF
