Patrick van Aanholt,2009-2010,18,NED,Chelsea,Premier League,2,35,0.4,0,2,,0,0,0,0,0,0,0,DF
Patrick van Aanholt,2011-2012,20,NED,Wigan Athletic,Premier League,3,270,3.0,3,0,,0,0,0,0,0,0,0,DF
Patrick van Aanholt,2014-2015,23,NED,Sunderland,Premier League,28,2307,25.6,26,2,0,0,5,5,0,0,0,0,DF
Patrick van Aanholt,2015-2016,24,NED,Sunderland,Premier League,33,2970,33.0,33,0,4,4,3,7,4,0,0,0,DF
Patrick van Aanholt,2016-2017,25,NED,eng ENG,Premier League,20,19.8,3,"1,784",,,1,4,3,0,0,2,2,"DF,MF"
Patrick van Aanholt,2016-2017,25,NED,eng ENG,Premier League,8,7.9,2,714,,,0,2,2,0,0,1,1,"DF,MF"
Patrick van Aanholt,2017-2018,26,NED,Crystal Palace,Premier League,28,2184,24.3,25,3,8,5,1,6,5,0,0,0,DF
Patrick van Aanholt,2018-2019,27,NED,Crystal Palace,Premier League,36,3195,35.5,36,0,2,3,2,5,3,0,0,0,DF
Patrick van Aanholt,2019-2020,28,NED,Crystal Palace,Premier League,29,2507,27.9,29,0,0,3,2,5,2,1,1,0,DF
Patrick van Aanholt,2020-2021,29,NED,Crystal Palace,Premier League,22,1777,19.7,20,2,11,0,1,1,0,0,0,0,DF
Max Aarons,2019-2020,19,ENG,Norwich City,Premier League,36,3240,36.0,36,0,0,0,1,1,0,0,0,0,DF
Max Aarons,2021-2022,21,ENG,Norwich City,Premier League,34,2881,32.0,32,2,2,0,2,2,0,0,0,0,DF
Max Aarons,2023-2024,23,ENG,Bournemouth,Premier League,20,1237,13.7,13,7,5,0,1,1,0,0,0,0,DF
Rolando Aarons,2017-2018,21,ENG,Newcastle Utd,Premier League,4,139,1.5,1,3,7,0,0,0,0,0,0,0,"MF,FW"
Rolando Aarons,2015-2016,19,ENG,Newcastle Utd,Premier League,10,381,4.2,3,7,6,1,1,2,1,0,0,0,"DF,MF"
Rolando Aarons,2014-2015,18,ENG,Newcastle Utd,Premier League,4,132,1.5,0,4,1,1,0,1,1,0,0,0,MF
Brenden Aaronson,2022-2023,21,USA,Leeds United,Premier League,36,2372,26.4,28,8,2,1,3,4,1,0,0,0,"MF,FW"
George Abbott,2022-2023,16,ENG,Tottenham,Premier League,1,1,0.0,0,1,1,0,0,0,0,0,0,0,MF
Almen Abdi,2015-2016,28,SUI,Watford,Premier League,32,1974,21.9,25,7,4,2,0,2,2,0,0,0,MF
Mehdi Abeid,2014-2015,21,ALG,Newcastle Utd,Premier League,13,664,7.4,7,6,7,0,0,0,0,0,0,0,MF
Nabil Abidallah,2000-2001,17,NED,Ipswich Town,Premier League,2,14,0.2,0,2,,0,0,0,0,0,0,0,MF
Terry Ablade,2022-2023,20,FIN,Fulham,Premier League,0,,,0,0,2,,,,,,,,FW
Gary Ablett,1992-1993,26,ENG,Everton,Premier League,40,3600,40.0,40,0,,0,2,2,0,0,0,0,DF
Gary Ablett,1993-1994,27,ENG,Everton,Premier League,32,2880,32.0,32,0,,1,3,4,1,0,0,0,DF
Gary Ablett,1994-1995,28,ENG,Everton,Premier League,26,2230,24.8,26,0,,3,0,3,3,0,0,0,DF
Gary Ablett,1995-1996,29,ENG,Everton,Premier League,13,1017,11.3,13,0,,0,0,0,0,0,0,0,DF
Samassi Abou,1997-1998,24,FRA,West Ham,Premier League,19,1118,12.4,12,7,,5,2,7,5,0,0,0,FW
Samassi Abou,1998-1999,25,FRA,West Ham,Premier League,3,188,2.1,2,1,,0,0,0,0,0,0,0,FW
Tammy Abraham,2015-2016,17,ENG,Chelsea,Premier League,2,55,0.6,0,2,0,0,0,0,0,0,0,0,FW
Tammy Abraham,2017-2018,19,ENG,Swansea City,Premier League,31,1726,19.2,15,16,2,5,1,6,5,0,0,0,FW
Tammy Abraham,2019-2020,21,ENG,Chelsea,Premier League,34,2215,24.6,25,9,0,15,3,18,15,0,0,0,FW
Tammy Abraham,2020-2021,22,ENG,Chelsea,Premier League,22,1040,11.6,12,10,8,6,1,7,6,0,0,0,FW
Tammy Abraham,2021-2022,23,ENG,Chelsea,Premier League,0,,,0,0,1,,,,,,,,FW
Joshua Acheampong,2023-2024,17,ENG,Chelsea,Premier League,1,6,0.1,0,1,3,0,0,0,0,0,0,0,DF
Milenko Ačimovič,2002-2003,25,SVN,Tottenham,Premier League,17,494,5.5,4,13,,0,2,2,0,0,0,0,MF
Clarence Acuña,2002-2003,27,CHI,Newcastle Utd,Premier League,4,150,1.7,2,2,,0,0,0,0,0,0,0,MF
Clarence Acuña,2001-2002,26,CHI,Newcastle Utd,Premier League,16,978,10.9,10,6,,3,0,3,3,0,0,0,MF
Clarence Acuña,2000-2001,25,CHI,Newcastle Utd,Premier League,26,1978,22.0,23,3,,3,0,3,3,0,0,0,MF
Charlie Adam,2017-2018,31,SCO,Stoke City,Premier League,11,411,4.6,5,6,21,0,0,0,0,0,1,1,MF
Charlie Adam,2016-2017,30,SCO,Stoke City,Premier League,24,1517,16.9,17,7,14,1,3,4,0,1,1,0,MF
Charlie Adam,2015-2016,29,SCO,Stoke City,Premier League,22,1044,11.6,12,10,7,1,1,2,1,0,0,0,MF
Charlie Adam,2014-2015,28,SCO,Stoke City,Premier League,29,1511,16.8,15,14,9,7,1,8,6,1,1,0,MF
Charlie Adam,2013-2014,27,SCO,Stoke City,Premier League,31,1756,19.5,20,11,,8,4,12,7,1,1,0,MF
Charlie Adam,2012-2013,26,SCO,Stoke City,Premier League,27,1757,19.5,22,5,,3,2,5,3,0,0,0,MF
Charlie Adam,2011-2012,25,SCO,Liverpool,Premier League,28,2167,24.1,27,1,,2,6,8,1,1,2,1,MF
Charlie Adam,2010-2011,24,SCO,Blackpool,Premier League,35,3049,33.9,34,1,,12,8,20,5,7,8,1,MF
Bénie Adama Traore,2023-2024,20,CIV,Sheffield Utd,Premier League,8,387,4.3,3,5,11,0,0,0,0,0,0,0,"FW,MF"
Che Adams,2022-2023,26,SCO,Southampton,Premier League,28,1992,22.1,23,5,1,5,3,8,5,0,0,0,FW
Che Adams,2021-2022,25,SCO,Southampton,Premier League,30,2039,22.7,23,7,4,7,3,10,7,0,0,0,FW
Che Adams,2020-2021,24,SCO,Southampton,Premier League,36,2667,29.6,30,6,0,9,5,14,9,0,0,0,FW
Che Adams,2019-2020,23,SCO,Southampton,Premier League,30,1111,12.3,12,18,6,4,2,6,4,0,0,0,FW
Micky Adams,1992-1993,30,ENG,Southampton,Premier League,38,3245,36.1,38,0,,4,3,7,4,0,0,0,DF
Micky Adams,1993-1994,31,ENG,Southampton,Premier League,19,1518,16.9,17,2,,0,4,4,0,0,0,0,DF
Neil Adams,1994-1995,28,ENG,Norwich City,Premier League,33,2171,24.1,23,10,,3,1,4,3,0,0,0,MF
Neil Adams,1993-1994,27,ENG,eng ENG,Premier League,7,8.6,0,770,,,0,0,0,0,0,0,0,MF
Neil Adams,1993-1994,27,ENG,eng ENG,Premier League,11,10.8,0,968,,,4,4,0,0,0,0,0,MF
Neil Adams,1992-1993,26,ENG,Oldham Athletic,Premier League,32,2454,27.3,26,6,,8,2,10,7,1,2,1,MF
Tony Adams,1992-1993,25,ENG,Arsenal,Premier League,35,3005,33.4,33,2,,0,0,0,0,0,0,0,DF
Tony Adams,1993-1994,26,ENG,Arsenal,Premier League,35,3108,34.5,35,0,,0,2,2,0,0,0,0,DF
Tony Adams,1994-1995,27,ENG,Arsenal,Premier League,27,2387,26.5,27,0,,3,1,4,3,0,0,0,DF
